Rank,Country,Regional indicator,Year,Happiness Score,Economy(GDP per capita),Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia and residual
19,Israel,Middle East and North Africa,2018,6.814,1.301,1.559,0.883,0.533,0.354,0.272,1.912
19,United States,North America and ANZ,2019,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2.266
19,Czech Republic,Central and Eastern Europe,2020,6.910900116,1.212322354,1.40528667,0.89456445,0.000505744576,0.046325929,0.049803223,2.796808243
19,United States,North America and ANZ,2021,6.951,1.533,1.03,0.621,0.000554,0.252,0.154,2.807
19,Belgium,Western Europe,2022,6.805,1.907,1.106,0.764,0.492,0.049,0.204,2.283
20,Czech Republic,Central and Eastern Europe,2019,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2.637
20,Belgium,Western Europe,2020,6.863500118,1.295842767,1.398677588,0.964901149,0.000499805421,0.146966159,0.208724052,2.348626614
20,Belgium,Western Europe,2021,6.834,1.463,0.998,0.747,0.000489,0.088,0.187,2.862
20,France,Western Europe,2022,6.687,1.863,1.219,0.808,0.567,0.07,0.266,1.895
21,Czech Republic,Central and Eastern Europe,2018,6.711,1.233,1.489,0.854,0.543,0.064,0.034,2.494
21,United Arab Emirates,Middle East and North Africa,2019,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2.145
21,United Arab Emirates,Middle East and North Africa,2020,6.790800095,1.431086421,1.251170993,0.787814438,0.000652936101,0.28065598,0.220213518,2.166965961
21,France,Western Europe,2021,6.69,1.421,1.081,0.804,0.000536,0.092,0.235,2.521
21,Bahrain,Middle East and North Africa,2022,6.647,1.854,1.029,0.625,0.693,0.199,0.155,2.092
22,Malta,Western Europe,2018,6.627,1.27,1.525,0.884,0.645,0.376,0.142,1.785
22,Malta,Western Europe,2019,6.726,1.3,1.52,0.999,0.564,0.375,0.151,1.817
22,Malta,Western Europe,2020,6.772799969,1.252513289,1.442956924,0.972042024,0.000633239031,0.341180831,0.178864077,1.952012062
22,Bahrain,Middle East and North Africa,2021,6.647,1.409,0.899,0.662,0.000661,0.246,0.139,2.631
22,Slovenia,Central and Eastern Europe,2022,6.63,1.81,1.249,0.769,0.685,0.118,0.115,1.885
23,France,Western Europe,2018,6.489,1.293,1.466,0.908,0.52,0.098,0.176,2.028
23,Mexico,Latin America and Caribbean,2019,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2.761
23,France,Western Europe,2020,6.663799763,1.268129349,1.458839178,1.029714227,0.000514050901,0.112607703,0.227303237,2.053198338
23,Malta,Western Europe,2021,6.602,1.411,1.055,0.747,0.000664,0.275,0.183,2.268
23,Costa Rica,Latin America and Caribbean,2022,6.582,1.584,1.054,0.744,0.661,0.089,0.102,2.346
24,Mexico,Latin America and Caribbean,2018,6.488,1.038,1.252,0.761,0.479,0.069,0.095,2.794
24,France,Western Europe,2019,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2.021
24,Mexico,Latin America and Caribbean,2020,6.465000153,1.024387479,1.226333499,0.831601024,0.000553892553,0.083094485,0.083133668,2.662540197
24,Taiwan,East Asia,2021,6.584,1.48,0.982,0.665,0.00049,0.142,0.139,2.687
24,United Arab Emirates,Middle East and North Africa,2022,6.576,1.998,0.98,0.633,0.702,0.204,0.25,1.809
25,Chile,Latin America and Caribbean,2018,6.476,1.131,1.331,0.808,0.431,0.197,0.061,2.517
25,Taiwan,East Asia,2019,6.446,1.368,1.43,0.914,0.351,0.242,0.097,2.044
25,Taiwan,East Asia,2020,6.45539999,1.327470541,1.357760668,0.878437996,0.000449404389,0.150598705,0.131516352,2.160238743
25,United Arab Emirates,Middle East and North Africa,2021,6.561,1.555,0.86,0.594,0.00067,0.236,0.223,2.422
25,Saudi Arabia,Middle East and North Africa,2022,6.523,1.87,1.092,0.577,0.651,0.078,0.18,2.075
26,Taiwan,East Asia,2018,6.441,1.365,1.436,0.857,0.418,0.151,0.078,2.136
26,Chile,Latin America and Caribbean,2019,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2.396
26,Uruguay,Latin America and Caribbean,2020,6.440100193,1.071000457,1.425081134,0.856928885,0.00059426707,0.132143691,0.193425074,2.167276382
26,Saudi Arabia,Middle East and North Africa,2021,6.494,1.435,0.964,0.571,0.000603,0.09,0.163,2.668
26,Taiwan,East Asia,2022,6.512,1.897,1.095,0.733,0.542,0.075,0.168,2.002
27,Panama,Latin America and Caribbean,2018,6.43,1.112,1.438,0.759,0.597,0.125,0.063,2.336
27,Guatemala,Latin America and Caribbean,2019,6.436,0.8,1.269,0.746,0.535,0.175,0.078,2.833
27,Saudi Arabia,Middle East and North Africa,2020,6.406499863,1.334328532,1.309950113,0.759818137,0.000548477471,0.087440684,0.163322315,2.203118801
27,Spain,Western Europe,2021,6.491,1.375,1.057,0.826,0.000462,0.135,0.124,2.513
27,Singapore,Southeast Asia,2022,6.48,2.149,1.127,0.851,0.672,0.163,0.587,0.932
28,Brazil,Latin America and Caribbean,2018,6.419,0.986,1.474,0.675,0.493,0.11,0.088,2.593
28,Saudi Arabia,Middle East and North Africa,2019,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2.169
28,Spain,Western Europe,2020,6.400899887,1.230535269,1.421099186,1.051343083,0.000425983816,0.16530548,0.109579779,1.997088432
28,Italy,Western Europe,2021,6.483,1.393,0.94,0.798,0.000379,0.133,0.047,2.794
28,Romania,Central and Eastern Europe,2022,6.477,1.719,1.006,0.655,0.605,0.039,0.006,2.446
29,Argentina,Latin America and Caribbean,2018,6.388,1.073,1.468,0.744,0.57,0.062,0.054,2.417
29,Qatar,Middle East and North Africa,2019,6.374,1.684,1.313,0.871,0.555,0.22,0.167,1.564
29,Guatemala,Latin America and Caribbean,2020,6.398900032,0.753815711,1.174267054,0.705952585,0.000613146722,0.170611665,0.0983603,2.882723093
29,Slovenia,Central and Eastern Europe,2021,6.461,1.36,1.093,0.722,0.00069,0.122,0.085,2.388
29,Spain,Western Europe,2022,6.476,1.808,1.211,0.808,0.505,0.101,0.149,1.893
30,Guatemala,Latin America and Caribbean,2018,6.382,0.781,1.268,0.608,0.604,0.179,0.071,2.871
30,Spain,Western Europe,2019,6.354,1.286,1.484,1.062,0.362,0.153,0.079,1.928
30,Italy,Western Europe,2020,6.38740015,1.236396074,1.347296,1.022504926,0.000321305573,0.170266211,0.040145598,2.249505997
30,Guatemala,Latin America and Caribbean,2021,6.435,0.845,0.79,0.519,0.000638,0.163,0.105,3.375
30,Uruguay,Latin America and Caribbean,2022,6.474,1.615,1.18,0.672,0.665,0.103,0.265,1.974
31,Uruguay,Latin America and Caribbean,2018,6.379,1.093,1.459,0.771,0.625,0.13,0.155,2.146
31,Panama,Latin America and Caribbean,2019,6.321,1.149,1.442,0.91,0.516,0.109,0.054,2.141
31,Singapore,Southeast Asia,2020,6.377099991,1.519580126,1.39545691,1.137814283,0.000635317206,0.218770906,0.533162236,0.937031746
31,Uruguay,Latin America and Caribbean,2021,6.431,1.164,1.042,0.649,0.000625,0.128,0.223,2.6
31,Italy,Western Europe,2022,6.467,1.834,1.052,0.801,0.412,0.085,0.059,2.222
32,Qatar,Middle East and North Africa,2018,6.374,1.649,1.303,0.748,0.654,0.256,0.171,1.593
32,Brazil,Latin America and Caribbean,2019,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2.48
32,Brazil,Latin America and Caribbean,2020,6.375599861,0.952679873,1.363464117,0.766119063,0.000483292729,0.131674588,0.106518604,2.571860313
32,Singapore,Southeast Asia,2021,6.377,1.695,1.019,0.897,0.000664,0.176,0.547,1.379
32,Kosovo,Central and Eastern Europe,2022,6.455,1.362,0.949,0.569,0.599,0.309,0.035,2.631
33,Saudi Arabia,Middle East and North Africa,2018,6.371,1.379,1.331,0.633,0.509,0.098,0.127,2.294
33,Uruguay,Latin America and Caribbean,2019,6.293,1.124,1.465,0.891,0.523,0.127,0.15,2.013
33,Slovenia,Central and Eastern Europe,2020,6.363399982,1.208652496,1.464677691,0.932548046,0.000646700144,0.145701498,0.076516323,1.888586521
33,Kosovo,Central and Eastern Europe,2021,6.372,0.937,0.807,0.483,0.000593,0.356,0.014,3.182
33,Malta,Western Europe,2022,6.447,1.838,1.169,0.789,0.679,0.174,0.166,1.631
34,Singapore,Southeast Asia,2018,6.343,1.529,1.451,1.008,0.631,0.261,0.457,1.006
34,Singapore,Southeast Asia,2019,6.262,1.572,1.463,1.141,0.556,0.271,0.453,0.805999999999999
34,El Salvador,Latin America and Caribbean,2020,6.34829998,0.748940408,1.149397612,0.752730012,0.000524043918,0.1189363,0.117030352,2.937191725
34,Slovakia,Central and Eastern Europe,2021,6.331,1.304,1.066,0.653,0.000468,0.107,0.018,2.714
34,Lithuania,Central and Eastern Europe,2022,6.446,1.804,1.204,0.659,0.496,0.053,0.077,2.153
35,Malaysia,Southeast Asia,2018,6.322,1.161,1.258,0.669,0.356,0.311,0.059,2.508
35,El Salvador,Latin America and Caribbean,2019,6.253,0.794,1.242,0.789,0.43,0.093,0.074,2.831
35,Kosovo,Central and Eastern Europe,2020,6.325200081,0.840481341,1.183962822,0.672709167,0.000557280421,0.325286865,0.008559024,2.736902714
35,Brazil,Latin America and Caribbean,2021,6.33,1.028,0.944,0.571,0.000514,0.142,0.117,3.015
35,Slovakia,Central and Eastern Europe,2022,6.391,1.736,1.232,0.707,0.479,0.118,0.025,2.094
36,Spain,Western Europe,2018,6.31,1.251,1.538,0.965,0.449,0.142,0.074,1.891
36,Italy,Western Europe,2019,6.223,1.294,1.488,1.039,0.231,0.158,0.03,1.983
36,Panama,Latin America and Caribbean,2020,6.304800034,1.097667813,1.376149297,0.878546536,0.00057984978,0.097207308,0.054230526,2.221176147
36,Mexico,Latin America and Caribbean,2021,6.317,1.126,0.83,0.634,0.000585,0.092,0.089,2.961
36,Estonia,Central and Eastern Europe,2022,6.341,1.793,1.232,0.728,0.689,0.123,0.333,1.442
37,Colombia,Latin America and Caribbean,2018,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2.557
37,Bahrain,Middle East and North Africa,2019,6.199,1.362,1.368,0.871,0.536,0.255,0.11,1.697
37,Slovakia,Central and Eastern Europe,2020,6.280600071,1.194837689,1.424331188,0.853465259,0.000423542529,0.116729774,0.011291441,2.256422043
37,Jamaica,Latin America and Caribbean,2021,6.309,0.891,0.932,0.599,0.000618,0.099,0.035,3.135
37,Panama,Latin America and Caribbean,2022,6.309,1.715,1.107,0.709,0.592,0.049,0.051,2.086
38,Trinidad & Tobago,Latin America and Caribbean,2018,6.192,1.223,1.492,0.564,0.575,0.171,0.019,2.148
38,Slovakia,Central and Eastern Europe,2019,6.198,1.246,1.504,0.881,0.334,0.121,0.014,2.098
38,Uzbekistan,Commonwealth of Independent States,2020,6.257599831,0.696652949,1.434020042,0.716703713,0.000693270326,0.363311023,0.280260265,2.073346615
38,Lithuania,Central and Eastern Europe,2021,6.255,1.35,1.065,0.612,0.000476,0.056,0.073,2.624
38,Brazil,Latin America and Caribbean,2022,6.293,1.462,1.044,0.615,0.546,0.131,0.134,2.361
39,Slovakia,Central and Eastern Europe,2018,6.173,1.21,1.537,0.776,0.354,0.118,0.014,2.164
39,Trinidad & Tobago,Latin America and Caribbean,2019,6.192,1.231,1.477,0.713,0.489,0.185,0.016,2.081
39,Chile,Latin America and Caribbean,2020,6.228499889,1.096992493,1.323286891,0.889260828,0.000417482227,0.155579001,0.06284935,2.283012867
39,Cyprus,Western Europe,2021,6.223,1.377,0.765,0.801,0.000464,0.178,0.061,2.578
39,Guatemala,Latin America and Caribbean,2022,6.262,1.274,0.831,0.522,0.662,0.112,0.115,2.746
40,El Salvador,Latin America and Caribbean,2018,6.167,0.806,1.231,0.639,0.461,0.065,0.082,2.883
40,Poland,Central and Eastern Europe,2019,6.182,1.206,1.438,0.884,0.483,0.117,0.05,2.004
40,Bahrain,Middle East and North Africa,2020,6.227300167,1.296692252,1.31532371,0.838836372,0.000610399902,0.287453711,0.126697257,1.751917362
40,Estonia,Central and Eastern Europe,2021,6.189,1.344,1.079,0.64,0.000641,0.119,0.263,2.103
40,Kazakhstan,Commonwealth of Independent States,2022,6.234,1.668,1.22,0.611,0.584,0.134,0.157,1.86
41,Nicaragua,Latin America and Caribbean,2018,6.141,0.668,1.319,0.7,0.527,0.208,0.128,2.591
41,Uzbekistan,Commonwealth of Independent States,2019,6.174,0.745,1.529,0.756,0.631,0.322,0.24,1.951
41,Lithuania,Central and Eastern Europe,2020,6.215499878,1.193559647,1.432865739,0.795421183,0.00042046079,0.053691041,0.081350274,2.238146067
41,Panama,Latin America and Caribbean,2021,6.18,1.298,0.976,0.667,0.000596,0.079,0.053,2.509
41,Cyprus,Western Europe,2022,6.221,1.815,0.909,0.819,0.448,0.123,0.062,2.044
42,Poland,Central and Eastern Europe,2018,6.123,1.176,1.448,0.781,0.546,0.108,0.064,2.0
42,Lithuania,Central and Eastern Europe,2019,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2.202
42,Trinidad & Tobago,Latin America and Caribbean,2020,6.191899776,1.167641521,1.407326221,0.658828557,0.00055293113,0.199358255,0.015078396,2.190695763
42,Uzbekistan,Commonwealth of Independent States,2021,6.179,0.769,1.027,0.528,0.000716,0.391,0.271,2.477
42,Latvia,Central and Eastern Europe,2022,6.18,1.732,1.221,0.637,0.502,0.075,0.09,1.923
43,Bahrain,Middle East and North Africa,2018,6.105,1.338,1.366,0.698,0.594,0.243,0.123,1.743
43,Colombia,Latin America and Caribbean,2019,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2.286
43,Poland,Central and Eastern Europe,2020,6.186299801,1.16922915,1.310399771,0.868038476,0.000557903528,0.063374244,0.160541251,2.056797981
43,Chile,Latin America and Caribbean,2021,6.172,1.2,0.946,0.678,0.000438,0.159,0.07,2.682
43,Serbia,Central and Eastern Europe,2022,6.178,1.55,1.086,0.658,0.546,0.219,0.088,2.031
44,Uzbekistan,Commonwealth of Independent States,2018,6.096,0.719,1.584,0.605,0.724,0.328,0.259,1.877
44,Slovenia,Central and Eastern Europe,2019,6.118,1.258,1.523,0.953,0.564,0.144,0.057,1.619
44,Colombia,Latin America and Caribbean,2020,6.163400173,0.93220371,1.33445096,0.810020149,0.000526890039,0.092374094,0.04584837,2.421656609
44,Poland,Central and Eastern Europe,2021,6.166,1.309,0.982,0.668,0.000558,0.08,0.13,2.438
44,Chile,Latin America and Caribbean,2022,6.172,1.651,1.08,0.748,0.46,0.124,0.069,2.04
45,Kuwait,Middle East and North Africa,2018,6.083,1.474,1.301,0.675,0.554,0.167,0.106,1.806
45,Nicaragua,Latin America and Caribbean,2019,6.105,0.694,1.325,0.835,0.435,0.2,0.127,2.489
45,Cyprus,Western Europe,2020,6.15899992,1.21279943,1.149170756,1.026124597,0.000459385872,0.227932334,0.051207144,2.032334805
45,Kazakhstan,Commonwealth of Independent States,2021,6.152,1.23,1.103,0.527,0.000573,0.143,0.132,2.446
45,Nicaragua,Latin America and Caribbean,2022,6.165,1.105,1.029,0.617,0.617,0.168,0.212,2.418
46,Thailand,Southeast Asia,2018,6.072,1.016,1.417,0.707,0.637,0.364,0.029,1.902
46,Kosovo,Central and Eastern Europe,2019,6.1,0.882,1.232,0.758,0.489,0.262,0.006,2.471
46,Nicaragua,Latin America and Caribbean,2020,6.13710022,0.620033145,1.27081275,0.803093255,0.000560117304,0.212871477,0.174084574,2.496081114
46,Romania,Central and Eastern Europe,2021,6.14,1.275,0.832,0.595,0.000564,0.045,0.001,2.83
46,Mexico,Latin America and Caribbean,2022,6.128,1.552,0.886,0.623,0.621,0.092,0.115,2.239
47,Italy,Western Europe,2018,6.0,1.264,1.501,0.946,0.281,0.137,0.028,1.843
47,Argentina,Latin America and Caribbean,2019,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2.094
47,Romania,Central and Eastern Europe,2020,6.123700142,1.120401621,1.1944381,0.79229486,0.000534852326,0.068181619,0.000829569,2.412749767
47,Kuwait,Middle East and North Africa,2021,6.106,1.461,0.857,0.58,0.000591,0.12,0.13,2.368
47,Croatia,Central and Eastern Europe,2022,6.125,1.705,1.183,0.709,0.535,0.109,0.0,1.884
48,Ecuador,Latin America and Caribbean,2018,5.973,0.889,1.33,0.736,0.556,0.114,0.12,2.228
48,Romania,Central and Eastern Europe,2019,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2.301
48,Kuwait,Middle East and North Africa,2020,6.102099895,1.424833655,1.244779825,0.776468933,0.000570261419,0.132751092,0.112814933,1.840167999
48,Serbia,Central and Eastern Europe,2021,6.078,1.101,0.924,0.634,0.000482,0.189,0.066,2.682
48,Poland,Central and Eastern Europe,2022,6.123,1.758,1.174,0.712,0.523,0.124,0.14,1.693
49,Belize,Latin America and Caribbean,2018,5.956,0.807,1.101,0.474,0.593,0.183,0.089,2.709
49,Cyprus,Western Europe,2019,6.046,1.263,1.223,1.042,0.406,0.19,0.041,1.881
49,Mauritius,Sub-Saharan Africa,2020,6.101299763,1.07366395,1.395666838,0.763389409,0.000590838134,0.186894551,0.084088229,2.006720543
49,El Salvador,Latin America and Caribbean,2021,6.061,0.845,0.675,0.565,0.000615,0.116,0.16,3.085
49,El Salvador,Latin America and Caribbean,2022,6.12,1.265,0.768,0.607,0.666,0.089,0.212,2.514
50,Lithuania,Central and Eastern Europe,2018,5.952,1.197,1.527,0.716,0.35,0.026,0.006,2.13
50,Ecuador,Latin America and Caribbean,2019,6.028,0.912,1.312,0.868,0.498,0.126,0.087,2.225
50,Kazakhstan,Commonwealth of Independent States,2020,6.057899952,1.122594237,1.453267694,0.698788941,0.000497432142,0.153713793,0.110463686,2.021602631
50,Mauritius,Sub-Saharan Africa,2021,6.049,1.178,0.996,0.574,0.00059,0.153,0.096,2.462
50,Kuwait,Middle East and North Africa,2022,6.106,1.904,0.983,0.747,0.617,0.087,0.147,1.621
51,Slovenia,Central and Eastern Europe,2018,5.948,1.219,1.506,0.856,0.633,0.16,0.051,1.523
51,Kuwait,Middle East and North Africa,2019,6.021,1.5,1.319,0.808,0.493,0.142,0.097,1.662
51,Estonia,Central and Eastern Europe,2020,6.021800041,1.192441225,1.453232527,0.842615008,0.000576664805,0.125136748,0.201766819,1.629928112
